Id problem,Weights,Prices,Capacity,Best picks,Best price,Average Weights,Average Prices,Cost function,Constraint
14,"[28, 21, 7, 48, 47]","[3, 19, 1, 15, 18]",82,"[0, 1, 1, 0, 1]",38,30.2,11.2,Maximize: 3*x0 + 19*x1 + 1*x2 + 15*x3 + 18*x4,Constraint: 28*x0 + 21*x1 + 7*x2 + 48*x3 + 47*x4 <= 82
15,"[27, 18, 11, 32, 47]","[10, 4, 12, 4, 1]",18,"[0, 0, 1, 0, 0]",12,27.0,6.2,Maximize: 10*x0 + 4*x1 + 12*x2 + 4*x3 + 1*x4,Constraint: 27*x0 + 18*x1 + 11*x2 + 32*x3 + 47*x4 <= 18
16,"[36, 41, 1, 46, 40]","[17, 6, 1, 10, 8]",42,"[1, 0, 1, 0, 0]",18,32.8,8.4,Maximize: 17*x0 + 6*x1 + 1*x2 + 10*x3 + 8*x4,Constraint: 36*x0 + 41*x1 + 1*x2 + 46*x3 + 40*x4 <= 42
17,"[42, 24, 41, 28, 31]","[16, 15, 12, 19, 1]",44,"[0, 0, 0, 1, 0]",19,33.2,12.6,Maximize: 16*x0 + 15*x1 + 12*x2 + 19*x3 + 1*x4,Constraint: 42*x0 + 24*x1 + 41*x2 + 28*x3 + 31*x4 <= 44
18,"[10, 37, 24, 25, 41]","[1, 6, 19, 9, 1]",92,"[0, 1, 1, 1, 0]",34,27.4,7.2,Maximize: 1*x0 + 6*x1 + 19*x2 + 9*x3 + 1*x4,Constraint: 10*x0 + 37*x1 + 24*x2 + 25*x3 + 41*x4 <= 92
19,"[22, 30, 16, 18, 37]","[10, 16, 16, 17, 12]",63,"[1, 0, 1, 1, 0]",43,24.6,14.2,Maximize: 10*x0 + 16*x1 + 16*x2 + 17*x3 + 12*x4,Constraint: 22*x0 + 30*x1 + 16*x2 + 18*x3 + 37*x4 <= 63
20,"[40, 35, 24, 28, 27]","[19, 13, 16, 3, 2]",86,"[1, 0, 1, 0, 0]",35,30.8,10.6,Maximize: 19*x0 + 13*x1 + 16*x2 + 3*x3 + 2*x4,Constraint: 40*x0 + 35*x1 + 24*x2 + 28*x3 + 27*x4 <= 86
21,"[4, 4, 21, 23, 38]","[18, 11, 18, 1, 18]",86,"[1, 1, 1, 0, 1]",65,18.0,13.2,Maximize: 18*x0 + 11*x1 + 18*x2 + 1*x3 + 18*x4,Constraint: 4*x0 + 4*x1 + 21*x2 + 23*x3 + 38*x4 <= 86
22,"[29, 28, 46, 37, 15]","[2, 3, 3, 1, 5]",58,"[0, 1, 0, 0, 1]",8,31.0,2.8,Maximize: 2*x0 + 3*x1 + 3*x2 + 1*x3 + 5*x4,Constraint: 29*x0 + 28*x1 + 46*x2 + 37*x3 + 15*x4 <= 58
23,"[26, 14, 6, 34, 1]","[18, 7, 17, 3, 9]",36,"[1, 0, 1, 0, 1]",44,16.2,10.8,Maximize: 18*x0 + 7*x1 + 17*x2 + 3*x3 + 9*x4,Constraint: 26*x0 + 14*x1 + 6*x2 + 34*x3 + 1*x4 <= 36
24,"[42, 47, 37, 13, 15]","[6, 10, 16, 8, 18]",76,"[0, 0, 1, 1, 1]",42,30.8,11.6,Maximize: 6*x0 + 10*x1 + 16*x2 + 8*x3 + 18*x4,Constraint: 42*x0 + 47*x1 + 37*x2 + 13*x3 + 15*x4 <= 76
25,"[16, 24, 29, 22, 5]","[10, 6, 13, 8, 8]",83,"[1, 0, 1, 1, 1]",39,19.2,9.0,Maximize: 10*x0 + 6*x1 + 13*x2 + 8*x3 + 8*x4,Constraint: 16*x0 + 24*x1 + 29*x2 + 22*x3 + 5*x4 <= 83
26,"[20, 2, 17, 14, 2]","[1, 4, 8, 9, 5]",95,"[1, 1, 1, 1, 1]",27,11.0,5.4,Maximize: 1*x0 + 4*x1 + 8*x2 + 9*x3 + 5*x4,Constraint: 20*x0 + 2*x1 + 17*x2 + 14*x3 + 2*x4 <= 95
27,"[21, 9, 9, 8, 6]","[5, 2, 9, 7, 6]",73,"[1, 1, 1, 1, 1]",29,10.6,5.8,Maximize: 5*x0 + 2*x1 + 9*x2 + 7*x3 + 6*x4,Constraint: 21*x0 + 9*x1 + 9*x2 + 8*x3 + 6*x4 <= 73
28,"[48, 41, 21, 29, 16]","[11, 9, 5, 1, 7]",85,"[1, 0, 1, 0, 1]",23,31.0,6.6,Maximize: 11*x0 + 9*x1 + 5*x2 + 1*x3 + 7*x4,Constraint: 48*x0 + 41*x1 + 21*x2 + 29*x3 + 16*x4 <= 85
29,"[16, 1, 11, 1, 1]","[8, 3, 6, 6, 12]",30,"[1, 1, 1, 1, 1]",35,6.0,7.0,Maximize: 8*x0 + 3*x1 + 6*x2 + 6*x3 + 12*x4,Constraint: 16*x0 + 1*x1 + 11*x2 + 1*x3 + 1*x4 <= 30
30,"[18, 26, 4, 22, 35]","[13, 14, 1, 14, 3]",61,"[0, 1, 1, 1, 0]",29,21.0,9.0,Maximize: 13*x0 + 14*x1 + 1*x2 + 14*x3 + 3*x4,Constraint: 18*x0 + 26*x1 + 4*x2 + 22*x3 + 35*x4 <= 61
31,"[24, 41, 22, 18, 26]","[2, 11, 3, 11, 5]",45,"[0, 0, 0, 1, 1]",16,26.2,6.4,Maximize: 2*x0 + 11*x1 + 3*x2 + 11*x3 + 5*x4,Constraint: 24*x0 + 41*x1 + 22*x2 + 18*x3 + 26*x4 <= 45
32,"[18, 2, 19, 19, 28]","[9, 15, 7, 3, 7]",73,"[1, 1, 1, 0, 1]",38,17.2,8.2,Maximize: 9*x0 + 15*x1 + 7*x2 + 3*x3 + 7*x4,Constraint: 18*x0 + 2*x1 + 19*x2 + 19*x3 + 28*x4 <= 73
33,"[41, 33, 4, 23, 38]","[17, 4, 2, 12, 17]",38,"[0, 0, 0, 0, 1]",17,27.8,10.4,Maximize: 17*x0 + 4*x1 + 2*x2 + 12*x3 + 17*x4,Constraint: 41*x0 + 33*x1 + 4*x2 + 23*x3 + 38*x4 <= 38
34,"[6, 29, 39, 10, 36]","[14, 2, 3, 12, 17]",66,"[1, 0, 0, 1, 1]",43,24.0,9.6,Maximize: 14*x0 + 2*x1 + 3*x2 + 12*x3 + 17*x4,Constraint: 6*x0 + 29*x1 + 39*x2 + 10*x3 + 36*x4 <= 66
35,"[25, 38, 49, 33, 11]","[11, 15, 5, 13, 1]",15,"[0, 0, 0, 0, 1]",1,31.2,9.0,Maximize: 11*x0 + 15*x1 + 5*x2 + 13*x3 + 1*x4,Constraint: 25*x0 + 38*x1 + 49*x2 + 33*x3 + 11*x4 <= 15
36,"[14, 24, 9, 47, 17]","[9, 9, 18, 17, 10]",72,"[1, 1, 1, 0, 1]",46,22.2,12.6,Maximize: 9*x0 + 9*x1 + 18*x2 + 17*x3 + 10*x4,Constraint: 14*x0 + 24*x1 + 9*x2 + 47*x3 + 17*x4 <= 72
37,"[2, 39, 30, 6, 20]","[13, 14, 1, 10, 15]",60,"[1, 0, 1, 1, 1]",39,19.4,10.6,Maximize: 13*x0 + 14*x1 + 1*x2 + 10*x3 + 15*x4,Constraint: 2*x0 + 39*x1 + 30*x2 + 6*x3 + 20*x4 <= 60
38,"[19, 25, 1, 35, 22]","[18, 3, 8, 2, 4]",37,"[1, 0, 1, 0, 0]",26,20.4,7.0,Maximize: 18*x0 + 3*x1 + 8*x2 + 2*x3 + 4*x4,Constraint: 19*x0 + 25*x1 + 1*x2 + 35*x3 + 22*x4 <= 37
39,"[29, 47, 43, 30, 43]","[1, 9, 17, 6, 4]",79,"[0, 0, 1, 1, 0]",23,38.4,7.4,Maximize: 1*x0 + 9*x1 + 17*x2 + 6*x3 + 4*x4,Constraint: 29*x0 + 47*x1 + 43*x2 + 30*x3 + 43*x4 <= 79
40,"[42, 27, 11, 42, 15]","[5, 1, 1, 8, 5]",72,"[0, 0, 1, 1, 1]",14,27.4,4.0,Maximize: 5*x0 + 1*x1 + 1*x2 + 8*x3 + 5*x4,Constraint: 42*x0 + 27*x1 + 11*x2 + 42*x3 + 15*x4 <= 72
41,"[4, 10, 42, 24, 12]","[4, 9, 3, 17, 17]",49,"[0, 1, 0, 1, 1]",43,18.4,10.0,Maximize: 4*x0 + 9*x1 + 3*x2 + 17*x3 + 17*x4,Constraint: 4*x0 + 10*x1 + 42*x2 + 24*x3 + 12*x4 <= 49
42,"[20, 26, 46, 22, 48]","[17, 9, 11, 14, 3]",21,"[1, 0, 0, 0, 0]",17,32.4,10.8,Maximize: 17*x0 + 9*x1 + 11*x2 + 14*x3 + 3*x4,Constraint: 20*x0 + 26*x1 + 46*x2 + 22*x3 + 48*x4 <= 21
43,"[17, 10, 17, 2, 14]","[12, 19, 4, 15, 7]",52,"[1, 1, 0, 1, 1]",53,12.0,11.4,Maximize: 12*x0 + 19*x1 + 4*x2 + 15*x3 + 7*x4,Constraint: 17*x0 + 10*x1 + 17*x2 + 2*x3 + 14*x4 <= 52
44,"[31, 5, 49, 13, 49]","[6, 11, 15, 14, 4]",49,"[1, 1, 0, 1, 0]",31,29.4,10.0,Maximize: 6*x0 + 11*x1 + 15*x2 + 14*x3 + 4*x4,Constraint: 31*x0 + 5*x1 + 49*x2 + 13*x3 + 49*x4 <= 49
45,"[31, 5, 14, 3, 12]","[9, 8, 14, 12, 8]",18,"[0, 0, 1, 1, 0]",26,13.0,10.2,Maximize: 9*x0 + 8*x1 + 14*x2 + 12*x3 + 8*x4,Constraint: 31*x0 + 5*x1 + 14*x2 + 3*x3 + 12*x4 <= 18
46,"[39, 42, 32, 38, 29]","[2, 7, 7, 12, 11]",24,"[0, 0, 0, 0, 0]",0,36.0,7.8,Maximize: 2*x0 + 7*x1 + 7*x2 + 12*x3 + 11*x4,Constraint: 39*x0 + 42*x1 + 32*x2 + 38*x3 + 29*x4 <= 24
47,"[27, 42, 47, 47, 27]","[15, 15, 7, 19, 19]",35,"[0, 0, 0, 0, 1]",19,38.0,15.0,Maximize: 15*x0 + 15*x1 + 7*x2 + 19*x3 + 19*x4,Constraint: 27*x0 + 42*x1 + 47*x2 + 47*x3 + 27*x4 <= 35
48,"[15, 40, 8, 32, 21]","[8, 8, 13, 12, 9]",43,"[0, 0, 1, 1, 0]",25,23.2,10.0,Maximize: 8*x0 + 8*x1 + 13*x2 + 12*x3 + 9*x4,Constraint: 15*x0 + 40*x1 + 8*x2 + 32*x3 + 21*x4 <= 43
49,"[8, 29, 23, 10, 44]","[6, 7, 1, 18, 12]",55,"[1, 1, 0, 1, 0]",31,22.8,8.8,Maximize: 6*x0 + 7*x1 + 1*x2 + 18*x3 + 12*x4,Constraint: 8*x0 + 29*x1 + 23*x2 + 10*x3 + 44*x4 <= 55
50,"[43, 3, 49, 41, 27]","[1, 12, 15, 17, 5]",91,"[0, 1, 0, 1, 1]",34,32.6,10.0,Maximize: 1*x0 + 12*x1 + 15*x2 + 17*x3 + 5*x4,Constraint: 43*x0 + 3*x1 + 49*x2 + 41*x3 + 27*x4 <= 91
51,"[8, 8, 32, 37, 40]","[14, 17, 3, 14, 10]",74,"[1, 1, 0, 1, 0]",45,25.0,11.6,Maximize: 14*x0 + 17*x1 + 3*x2 + 14*x3 + 10*x4,Constraint: 8*x0 + 8*x1 + 32*x2 + 37*x3 + 40*x4 <= 74
52,"[28, 9, 48, 35, 34]","[12, 1, 3, 15, 13]",78,"[0, 1, 0, 1, 1]",29,30.8,8.8,Maximize: 12*x0 + 1*x1 + 3*x2 + 15*x3 + 13*x4,Constraint: 28*x0 + 9*x1 + 48*x2 + 35*x3 + 34*x4 <= 78
53,"[33, 4, 19, 13, 26]","[2, 19, 9, 11, 19]",39,"[0, 1, 1, 1, 0]",39,19.0,12.0,Maximize: 2*x0 + 19*x1 + 9*x2 + 11*x3 + 19*x4,Constraint: 33*x0 + 4*x1 + 19*x2 + 13*x3 + 26*x4 <= 39
54,"[40, 44, 29, 30, 36]","[18, 11, 8, 8, 7]",16,"[0, 0, 0, 0, 0]",0,35.8,10.4,Maximize: 18*x0 + 11*x1 + 8*x2 + 8*x3 + 7*x4,Constraint: 40*x0 + 44*x1 + 29*x2 + 30*x3 + 36*x4 <= 16
55,"[15, 20, 3, 11, 28]","[10, 11, 5, 5, 2]",15,"[0, 0, 1, 1, 0]",10,15.4,6.6,Maximize: 10*x0 + 11*x1 + 5*x2 + 5*x3 + 2*x4,Constraint: 15*x0 + 20*x1 + 3*x2 + 11*x3 + 28*x4 <= 15
56,"[38, 16, 45, 28, 28]","[6, 13, 2, 19, 12]",50,"[0, 1, 0, 1, 0]",32,31.0,10.4,Maximize: 6*x0 + 13*x1 + 2*x2 + 19*x3 + 12*x4,Constraint: 38*x0 + 16*x1 + 45*x2 + 28*x3 + 28*x4 <= 50
57,"[32, 22, 27, 18, 42]","[13, 16, 13, 12, 8]",91,"[1, 1, 1, 0, 0]",42,28.2,12.4,Maximize: 13*x0 + 16*x1 + 13*x2 + 12*x3 + 8*x4,Constraint: 32*x0 + 22*x1 + 27*x2 + 18*x3 + 42*x4 <= 91
58,"[42, 49, 21, 42, 1]","[11, 3, 1, 16, 16]",79,"[0, 0, 1, 1, 1]",33,31.0,9.4,Maximize: 11*x0 + 3*x1 + 1*x2 + 16*x3 + 16*x4,Constraint: 42*x0 + 49*x1 + 21*x2 + 42*x3 + 1*x4 <= 79
59,"[15, 18, 17, 45, 36]","[19, 6, 5, 3, 14]",70,"[1, 1, 0, 0, 1]",39,26.2,9.4,Maximize: 19*x0 + 6*x1 + 5*x2 + 3*x3 + 14*x4,Constraint: 15*x0 + 18*x1 + 17*x2 + 45*x3 + 36*x4 <= 70
60,"[16, 47, 27, 47, 48]","[13, 7, 14, 19, 8]",90,"[1, 0, 1, 1, 0]",46,37.0,12.2,Maximize: 13*x0 + 7*x1 + 14*x2 + 19*x3 + 8*x4,Constraint: 16*x0 + 47*x1 + 27*x2 + 47*x3 + 48*x4 <= 90
61,"[5, 19, 42, 34, 43]","[4, 18, 9, 8, 17]",93,"[1, 1, 0, 0, 1]",39,28.6,11.2,Maximize: 4*x0 + 18*x1 + 9*x2 + 8*x3 + 17*x4,Constraint: 5*x0 + 19*x1 + 42*x2 + 34*x3 + 43*x4 <= 93
62,"[38, 25, 24, 15, 28]","[5, 19, 4, 19, 12]",46,"[0, 1, 0, 1, 0]",38,26.0,11.8,Maximize: 5*x0 + 19*x1 + 4*x2 + 19*x3 + 12*x4,Constraint: 38*x0 + 25*x1 + 24*x2 + 15*x3 + 28*x4 <= 46
63,"[45, 1, 17, 9, 36]","[4, 12, 19, 10, 13]",16,"[0, 1, 0, 1, 0]",22,21.6,11.6,Maximize: 4*x0 + 12*x1 + 19*x2 + 10*x3 + 13*x4,Constraint: 45*x0 + 1*x1 + 17*x2 + 9*x3 + 36*x4 <= 16
64,"[29, 17, 23, 16, 8]","[3, 16, 14, 18, 18]",95,"[1, 1, 1, 1, 1]",69,18.6,13.8,Maximize: 3*x0 + 16*x1 + 14*x2 + 18*x3 + 18*x4,Constraint: 29*x0 + 17*x1 + 23*x2 + 16*x3 + 8*x4 <= 95
65,"[44, 20, 3, 14, 17]","[13, 15, 16, 13, 16]",49,"[0, 1, 1, 0, 1]",47,19.6,14.6,Maximize: 13*x0 + 15*x1 + 16*x2 + 13*x3 + 16*x4,Constraint: 44*x0 + 20*x1 + 3*x2 + 14*x3 + 17*x4 <= 49
66,"[48, 1, 6, 22, 31]","[5, 10, 7, 5, 8]",84,"[0, 1, 1, 1, 1]",30,21.6,7.0,Maximize: 5*x0 + 10*x1 + 7*x2 + 5*x3 + 8*x4,Constraint: 48*x0 + 1*x1 + 6*x2 + 22*x3 + 31*x4 <= 84
67,"[10, 39, 39, 42, 19]","[12, 1, 16, 4, 12]",23,"[0, 0, 0, 0, 1]",12,29.8,9.0,Maximize: 12*x0 + 1*x1 + 16*x2 + 4*x3 + 12*x4,Constraint: 10*x0 + 39*x1 + 39*x2 + 42*x3 + 19*x4 <= 23
68,"[30, 17, 1, 6, 32]","[10, 3, 19, 12, 5]",39,"[1, 0, 1, 1, 0]",41,17.2,9.8,Maximize: 10*x0 + 3*x1 + 19*x2 + 12*x3 + 5*x4,Constraint: 30*x0 + 17*x1 + 1*x2 + 6*x3 + 32*x4 <= 39
69,"[45, 1, 46, 25, 23]","[18, 18, 19, 14, 10]",56,"[0, 1, 0, 1, 1]",42,28.0,15.8,Maximize: 18*x0 + 18*x1 + 19*x2 + 14*x3 + 10*x4,Constraint: 45*x0 + 1*x1 + 46*x2 + 25*x3 + 23*x4 <= 56
70,"[8, 27, 5, 17, 35]","[5, 9, 2, 9, 9]",28,"[1, 0, 0, 1, 0]",14,18.4,6.8,Maximize: 5*x0 + 9*x1 + 2*x2 + 9*x3 + 9*x4,Constraint: 8*x0 + 27*x1 + 5*x2 + 17*x3 + 35*x4 <= 28
71,"[15, 20, 4, 49, 20]","[18, 16, 12, 17, 12]",95,"[1, 1, 1, 1, 0]",63,21.6,15.0,Maximize: 18*x0 + 16*x1 + 12*x2 + 17*x3 + 12*x4,Constraint: 15*x0 + 20*x1 + 4*x2 + 49*x3 + 20*x4 <= 95
72,"[34, 13, 21, 17, 28]","[10, 1, 4, 11, 9]",37,"[0, 1, 0, 1, 0]",12,22.6,7.0,Maximize: 10*x0 + 1*x1 + 4*x2 + 11*x3 + 9*x4,Constraint: 34*x0 + 13*x1 + 21*x2 + 17*x3 + 28*x4 <= 37
73,"[36, 12, 13, 4, 31]","[7, 15, 3, 10, 14]",71,"[0, 1, 1, 1, 1]",42,19.2,9.8,Maximize: 7*x0 + 15*x1 + 3*x2 + 10*x3 + 14*x4,Constraint: 36*x0 + 12*x1 + 13*x2 + 4*x3 + 31*x4 <= 71
74,"[13, 47, 49, 42, 43]","[11, 6, 10, 5, 2]",93,"[1, 0, 1, 0, 0]",21,38.8,6.8,Maximize: 11*x0 + 6*x1 + 10*x2 + 5*x3 + 2*x4,Constraint: 13*x0 + 47*x1 + 49*x2 + 42*x3 + 43*x4 <= 93
75,"[49, 44, 42, 6, 17]","[18, 1, 10, 6, 11]",75,"[1, 0, 0, 1, 1]",35,31.6,9.2,Maximize: 18*x0 + 1*x1 + 10*x2 + 6*x3 + 11*x4,Constraint: 49*x0 + 44*x1 + 42*x2 + 6*x3 + 17*x4 <= 75
76,"[17, 23, 16, 42, 1]","[12, 9, 2, 5, 15]",68,"[1, 1, 1, 0, 1]",38,19.8,8.6,Maximize: 12*x0 + 9*x1 + 2*x2 + 5*x3 + 15*x4,Constraint: 17*x0 + 23*x1 + 16*x2 + 42*x3 + 1*x4 <= 68
77,"[43, 4, 16, 36, 18]","[13, 18, 12, 17, 15]",95,"[0, 1, 1, 1, 1]",62,23.4,15.0,Maximize: 13*x0 + 18*x1 + 12*x2 + 17*x3 + 15*x4,Constraint: 43*x0 + 4*x1 + 16*x2 + 36*x3 + 18*x4 <= 95
78,"[5, 39, 22, 16, 35]","[4, 3, 11, 8, 6]",94,"[1, 0, 1, 1, 1]",29,23.4,6.4,Maximize: 4*x0 + 3*x1 + 11*x2 + 8*x3 + 6*x4,Constraint: 5*x0 + 39*x1 + 22*x2 + 16*x3 + 35*x4 <= 94
79,"[14, 47, 31, 7, 44]","[6, 7, 8, 1, 8]",23,"[1, 0, 0, 1, 0]",7,28.6,6.0,Maximize: 6*x0 + 7*x1 + 8*x2 + 1*x3 + 8*x4,Constraint: 14*x0 + 47*x1 + 31*x2 + 7*x3 + 44*x4 <= 23
80,"[49, 14, 28, 17, 19]","[9, 14, 9, 9, 10]",94,"[0, 1, 1, 1, 1]",42,25.4,10.2,Maximize: 9*x0 + 14*x1 + 9*x2 + 9*x3 + 10*x4,Constraint: 49*x0 + 14*x1 + 28*x2 + 17*x3 + 19*x4 <= 94
81,"[36, 45, 10, 35, 47]","[18, 11, 16, 13, 9]",51,"[1, 0, 1, 0, 0]",34,34.6,13.4,Maximize: 18*x0 + 11*x1 + 16*x2 + 13*x3 + 9*x4,Constraint: 36*x0 + 45*x1 + 10*x2 + 35*x3 + 47*x4 <= 51
82,"[22, 29, 5, 34, 25]","[12, 4, 11, 16, 8]",74,"[1, 0, 1, 1, 0]",39,23.0,10.2,Maximize: 12*x0 + 4*x1 + 11*x2 + 16*x3 + 8*x4,Constraint: 22*x0 + 29*x1 + 5*x2 + 34*x3 + 25*x4 <= 74
83,"[5, 25, 7, 39, 9]","[3, 7, 8, 11, 3]",83,"[1, 1, 1, 1, 0]",29,17.0,6.4,Maximize: 3*x0 + 7*x1 + 8*x2 + 11*x3 + 3*x4,Constraint: 5*x0 + 25*x1 + 7*x2 + 39*x3 + 9*x4 <= 83
84,"[36, 16, 43, 39, 35]","[9, 11, 15, 17, 15]",45,"[0, 0, 0, 1, 0]",17,33.8,13.4,Maximize: 9*x0 + 11*x1 + 15*x2 + 17*x3 + 15*x4,Constraint: 36*x0 + 16*x1 + 43*x2 + 39*x3 + 35*x4 <= 45
85,"[38, 20, 9, 35, 12]","[6, 15, 1, 16, 12]",66,"[0, 1, 1, 1, 0]",32,22.8,10.0,Maximize: 6*x0 + 15*x1 + 1*x2 + 16*x3 + 12*x4,Constraint: 38*x0 + 20*x1 + 9*x2 + 35*x3 + 12*x4 <= 66
86,"[17, 15, 27, 34, 23]","[17, 11, 15, 1, 5]",33,"[1, 1, 0, 0, 0]",28,23.2,9.8,Maximize: 17*x0 + 11*x1 + 15*x2 + 1*x3 + 5*x4,Constraint: 17*x0 + 15*x1 + 27*x2 + 34*x3 + 23*x4 <= 33
87,"[3, 23, 34, 34, 5]","[4, 12, 6, 10, 10]",22,"[1, 0, 0, 0, 1]",14,19.8,8.4,Maximize: 4*x0 + 12*x1 + 6*x2 + 10*x3 + 10*x4,Constraint: 3*x0 + 23*x1 + 34*x2 + 34*x3 + 5*x4 <= 22
88,"[5, 21, 48, 31, 42]","[6, 2, 11, 13, 1]",39,"[1, 0, 0, 1, 0]",19,29.4,6.6,Maximize: 6*x0 + 2*x1 + 11*x2 + 13*x3 + 1*x4,Constraint: 5*x0 + 21*x1 + 48*x2 + 31*x3 + 42*x4 <= 39
89,"[19, 10, 19, 49, 36]","[12, 5, 7, 17, 8]",78,"[1, 1, 0, 1, 0]",34,26.6,9.8,Maximize: 12*x0 + 5*x1 + 7*x2 + 17*x3 + 8*x4,Constraint: 19*x0 + 10*x1 + 19*x2 + 49*x3 + 36*x4 <= 78
90,"[30, 24, 29, 11, 46]","[7, 9, 7, 17, 5]",95,"[1, 1, 1, 1, 0]",40,28.0,9.0,Maximize: 7*x0 + 9*x1 + 7*x2 + 17*x3 + 5*x4,Constraint: 30*x0 + 24*x1 + 29*x2 + 11*x3 + 46*x4 <= 95
91,"[18, 37, 13, 30, 28]","[15, 12, 18, 7, 12]",96,"[1, 1, 1, 0, 1]",57,25.2,12.8,Maximize: 15*x0 + 12*x1 + 18*x2 + 7*x3 + 12*x4,Constraint: 18*x0 + 37*x1 + 13*x2 + 30*x3 + 28*x4 <= 96
92,"[24, 19, 45, 35, 23]","[14, 8, 10, 7, 8]",85,"[1, 1, 0, 0, 1]",30,29.2,9.4,Maximize: 14*x0 + 8*x1 + 10*x2 + 7*x3 + 8*x4,Constraint: 24*x0 + 19*x1 + 45*x2 + 35*x3 + 23*x4 <= 85
93,"[1, 21, 29, 42, 31]","[1, 15, 1, 10, 13]",16,"[1, 0, 0, 0, 0]",1,24.8,8.0,Maximize: 1*x0 + 15*x1 + 1*x2 + 10*x3 + 13*x4,Constraint: 1*x0 + 21*x1 + 29*x2 + 42*x3 + 31*x4 <= 16
94,"[37, 44, 36, 31, 18]","[17, 9, 7, 5, 5]",92,"[1, 0, 1, 0, 1]",29,33.2,8.6,Maximize: 17*x0 + 9*x1 + 7*x2 + 5*x3 + 5*x4,Constraint: 37*x0 + 44*x1 + 36*x2 + 31*x3 + 18*x4 <= 92
